Date,Open,High,Low,Close,Adjusted_close,Volume
12/16/2009,111.8,112.13,111.27,111.52,91.2643,155358104
12/17/2009,110.72,110.93,110.08,110.18,90.1674,183390083
12/18/2009,110.2,110.3,109.28,110.21,90.678,174591136
12/21/2009,110.76,111.7,110.76,111.33,91.5991,118104223
12/22/2009,111.57,111.97,111.425,111.73,91.928,91707436
12/23/2009,112,112.11,111.5,111.95,92.1093,111783033
12/24/2009,112.19,112.6,111.9948,112.48,92.5453,39677470
12/28/2009,112.9,112.99,112.32,112.72,92.7425,87508427
12/29/2009,113.01,113.03,112.55,112.562,92.6131,80572472
12/30/2009,112.23,112.65,112.17,112.52,92.5782,73138357
12/31/2009,112.77,112.8,111.39,111.44,91.6901,90637861
