SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-30-2018,Unknown,1340 Bellevue Wy SE,Bellevue,WA,98004,1095000,3,3.25,Downtown,2175,2230,2005,304,503,330,Sold,,,http://www.redfin.com/WA/Bellevue/1340-Bellevue-Way-SE-98004/unit-1/home/17075096,NWMLS,1377795,N,Y,47.5983026,-122.1981208
PAST SALE,June-18-2019,Single Family Residential,17004 NE 20th St,Bellevue,WA,98008,925000,4,1.75,Bellevue,2040,7350,1964,104,453,,Sold,,,http://www.redfin.com/WA/Bellevue/17004-NE-20th-St-98008/home/432821,NWMLS,1455198,N,Y,47.627532,-122.1133054
PAST SALE,November-20-2018,Condo/Co-op,10610 NE 9th Pl #627,Bellevue,WA,98004,670000,1,1.0,Downtown,788,102684,2008,314,850,545,Sold,,,http://www.redfin.com/WA/Bellevue/10610-NE-9th-Pl-98004/unit-627/home/18656953,NWMLS,1371410,N,Y,47.6191171,-122.1979122
PAST SALE,November-21-2018,Single Family Residential,2405 138th Ave SE,Bellevue,WA,98005,910000,4,2.0,Bellevue,1720,7500,1956,313,529,,Sold,,,http://www.redfin.com/WA/Bellevue/2405-138th-Ave-SE-98005/home/508882,NWMLS,1371945,N,Y,47.5889633,-122.1568127
PAST SALE,June-17-2019,Single Family Residential,4461 170th Ave SE,Bellevue,WA,98006,1350000,4,2.5,Lakemont,2860,9924,1984,105,472,25,Sold,,,http://www.redfin.com/WA/Bellevue/4461-170th-Ave-SE-98006/home/237077,NWMLS,1448267,N,Y,47.565277,-122.1135757
PAST SALE,,Single Family Residential,10234 Kaylen Pl SE,Bellevue,WA,98004,1220000,3,1.75,,1570,10038,1952,,777,,,,,http://www.redfin.com/WA/Bellevue/10234-Kaylen-Pl-SE-98004/home/253151,,,N,Y,47.597035,-122.202903
PAST SALE,December-24-2018,Single Family Residential,1736 147th Ave SE,Bellevue,WA,98007,745000,4,1.75,Robinswood,1410,7650,1961,280,528,,Sold,,,http://www.redfin.com/WA/Bellevue/1736-147th-Ave-SE-98007/home/427611,NWMLS,1350493,N,Y,47.5945067,-122.1440169
PAST SALE,October-12-2018,Single Family Residential,5922 166th Ave SE,Bellevue,WA,98006,1080000,4,2.5,Lakemont,2940,14547,1994,353,367,34,Sold,,,http://www.redfin.com/WA/Bellevue/5922-166th-Ave-SE-98006/home/419394,NWMLS,1340790,N,Y,47.5500607,-122.1179951
PAST SALE,,Condo/Co-op,2680 139th Ave SE #109,Bellevue,WA,98005,725000,3,2.5,,1767,,1998,,410,,,,,http://www.redfin.com/WA/Bellevue/2680-139th-Ave-SE-98005/unit-109/home/14528,,,N,Y,47.5861522,-122.1515743
PAST SALE,June-18-2019,Single Family Residential,5929 146th Pl SE,Bellevue,WA,98006,1250000,4,2.5,Bellevue,2710,11823,1980,104,461,,Sold,,,http://www.redfin.com/WA/Bellevue/5929-146th-Pl-SE-98006/home/235870,NWMLS,1451271,N,Y,47.5495457,-122.144486
PAST SALE,October-24-2018,Single Family Residential,16228 Main St,Bellevue,WA,98008,715000,3,2.25,Lake Hills,1740,9632,1958,341,411,,Sold,,,http://www.redfin.com/WA/Bellevue/16228-Main-St-98008/home/501010,NWMLS,1325835,N,Y,47.6093893,-122.123355
PAST SALE,October-22-2018,Single Family Residential,10034 NE 22nd St,Bellevue,WA,98004,1850000,5,4.25,Clyde Hill,3550,15473,1953,343,521,,Sold,,,http://www.redfin.com/WA/Bellevue/10034-NE-22nd-St-98004/home/506408,NWMLS,1361917,N,Y,47.630448,-122.205546
PAST SALE,,Condo/Co-op,3420 161st Pl SE #67,Bellevue,WA,98008,670000,4,2.5,,1772,,1981,,378,,,,,http://www.redfin.com/WA/Bellevue/3420-161st-Pl-SE-98008/unit-67/home/47110,,,N,Y,47.5793293,-122.1252457
PAST SALE,November-15-2018,Condo/Co-op,500 106th Ave NE #1801,Bellevue,WA,98004,1525000,2,1.75,Downtown,1927,,2008,319,791,1156,Sold,,,http://www.redfin.com/WA/Bellevue/500-106th-Ave-NE-98004/unit-1801/home/21882862,NWMLS,1355848,N,Y,47.6147175,-122.1987009
PAST SALE,,Single Family Residential,16914 NE 26th Pl,Bellevue,WA,98008,800000,7,2.75,,3780,12635,1966,,212,,,,,http://www.redfin.com/WA/Bellevue/16914-NE-26th-Pl-98008/home/431549,,,N,Y,47.6338414,-122.1139282
PAST SALE,November-15-2018,Single Family Residential,15910 SE 47th Ct,Bellevue,WA,98006,862000,3,2.25,Bellevue,1950,10315,1976,319,442,,Sold,,,http://www.redfin.com/WA/Bellevue/15910-SE-47th-Ct-98006/home/238625,NWMLS,1367221,N,Y,47.5605095,-122.1271856
PAST SALE,June-17-2019,Single Family Residential,18170 SE 41st Pl,Issaquah,WA,98027,3475000,5,4.0,Lake Sammamish,4820,14223,1993,105,721,,Sold,,,http://www.redfin.com/WA/Issaquah/18170-SE-41st-Pl-98027/home/326649,NWMLS,1441843,N,Y,47.5713508,-122.0965965
PAST SALE,,Condo/Co-op,15753 NE 14th Aly,Bellevue,WA,98008,792000,2,2.0,,1378,,,,575,,,,,http://www.redfin.com/WA/Bellevue/15753-NE-14th-Aly-98008/home/167400128,,,N,Y,47.6225027,-122.1308855
PAST SALE,November-20-2018,Condo/Co-op,14150 SE 17th Place Unit B-1,Bellevue,WA,98007,255000,1,1.0,College Hill,642,,1979,314,397,347,Sold,,,http://www.redfin.com/WA/Bellevue/14150-SE-17th-Pl-98007/unit-B-1/home/147297415,NWMLS,1368033,N,Y,47.5957896,-122.1522092
PAST SALE,November-27-2018,Condo/Co-op,14404 NE 31st St Unit K107,Bellevue,WA,98007,305000,2,1.0,Microsoft,889,435710,1978,307,343,458,Sold,,,http://www.redfin.com/WA/Bellevue/14404-NE-31st-St-98007/unit-K107/home/48065,NWMLS,1355522,N,Y,47.6382568,-122.1457644
PAST SALE,December-12-2018,Single Family Residential,5840 155th Ave SE,Bellevue,WA,98006,1360000,5,3.25,The Summit,4324,13193,1988,292,315,276,Sold,,,http://www.redfin.com/WA/Bellevue/5840-155th-Ave-SE-98006/home/235882,NWMLS,1309906,N,Y,47.550046,-122.1326514
PAST SALE,December-18-2018,Condo/Co-op,3033 127th Place SE Unit I-21,Bellevue,WA,98005,425000,2,1.5,Woodridge,1043,90622,1979,286,407,466,Sold,,,http://www.redfin.com/WA/Bellevue/3033-127th-Pl-SE-98005/unit-I21/home/48550,NWMLS,1353910,N,Y,47.5836011,-122.1709791
PAST SALE,July-9-2019,Single Family Residential,10461 SE 23rd St,Bellevue,WA,98004,1553000,3,1.75,Enatai,1800,20278,1952,83,863,,Sold,,,http://www.redfin.com/WA/Bellevue/10461-SE-23rd-St-98004/home/510248,NWMLS,1474679,N,Y,47.5897185,-122.2001058
